Review_ID,Patient_ID,Appointment_ID,Rating,Review_Text,Review_Date,Sentiment
REV00001,DP02833,APT001655,4,Treatment was fine,2025-11-23,Neutral
REV00002,DP00064,APT006645,4,Service was okay,2025-08-31,Neutral
REV00003,DP02046,APT003496,4,Treatment was fine,2023-02-08,Neutral
REV00004,DP01355,APT005316,4,Doctor explained everything clearly,2024-11-23,Positive
REV00005,DP01743,APT000778,5,Excellent service and very friendly staff,2023-10-31,Positive
REV00006,DP03004,APT005514,4,Average experience,2023-11-27,Neutral
REV00007,DP00827,APT004463,5,Highly recommend this clinic,2023-12-23,Positive
REV00008,DP02055,APT004647,4,Great experience overall,2025-03-12,Positive
REV00009,DP00864,APT006213,4,Great experience overall,2023-03-08,Positive
REV00010,DP00287,APT004576,4,Very satisfied with the treatment,2024-05-06,Positive
REV00011,DP02057,APT006355,4,Nothing special but acceptable,2024-04-25,Neutral
REV00012,DP01688,APT002060,4,Highly recommend this clinic,2025-11-09,Positive
REV00013,DP00523,APT004387,5,Great experience overall,2024-07-10,Positive
REV00014,DP01050,APT000596,4,Very satisfied with the treatment,2023-02-08,Positive
REV00015,DP01583,APT002065,3,Nothing special but acceptable,2025-07-11,Neutral
REV00016,DP00186,APT001312,5,Doctor explained everything clearly,2023-01-04,Positive
REV00017,DP00163,APT003507,4,Nothing special but acceptable,2024-05-20,Neutral
REV00018,DP02172,APT005279,4,Very satisfied with the treatment,2023-07-08,Positive
REV00019,DP01878,APT000472,5,Doctor explained everything clearly,2023-05-29,Positive
REV00020,DP01361,APT000792,5,Highly recommend this clinic,2024-08-30,Positive
REV00021,DP00522,APT004670,5,Quick and painless procedure,2023-10-08,Positive
REV00022,DP00968,APT001414,4,Nothing special but acceptable,2025-08-15,Neutral
REV00023,DP00284,APT000311,5,Excellent service and very friendly staff,2024-09-18,Positive
REV00024,DP01581,APT001152,4,Nothing special but acceptable,2023-06-26,Neutral
REV00025,DP02697,APT001604,4,Excellent service and very friendly staff,2024-02-11,Positive
REV00026,DP00475,APT002910,4,Great experience overall,2023-07-01,Positive
REV00027,DP02881,APT003431,5,Quick and painless procedure,2025-05-19,Positive
REV00028,DP01618,APT002075,5,Great experience overall,2024-04-02,Positive
REV00029,DP00750,APT000739,5,Great experience overall,2023-03-11,Positive
REV00030,DP01542,APT006857,4,Great experience overall,2025-07-09,Positive
REV00031,DP01537,APT002410,4,Doctor explained everything clearly,2025-02-03,Positive
REV00032,DP01023,APT002829,4,Highly recommend this clinic,2025-11-14,Positive
REV00033,DP01270,APT001006,5,Very satisfied with the treatment,2023-05-24,Positive
REV00034,DP01771,APT001340,4,Excellent service and very friendly staff,2025-04-05,Positive
REV00035,DP01232,APT001789,3,Nothing special but acceptable,2023-09-15,Neutral
REV00036,DP00359,APT004303,4,Quick and painless procedure,2023-12-01,Positive
REV00037,DP02085,APT005037,3,Service was okay,2025-02-01,Neutral
REV00038,DP00784,APT004087,4,Highly recommend this clinic,2024-03-01,Positive
REV00039,DP02559,APT001449,4,Average experience,2024-04-16,Neutral
REV00040,DP00554,APT003623,4,Clean clinic and professional team,2024-07-26,Positive
REV00041,DP00964,APT004217,4,Waiting time was a bit long,2023-10-15,Neutral
REV00042,DP02376,APT004096,5,Quick and painless procedure,2023-01-17,Positive
