Product_ID,Product_Name,Category,Sub_Category,Brand,Size,Color,Material,Price,Cost_Price,Launch_Date,Season
PROD00001,Trendy Grey Shirt,Tops,Shirt,Chic Avenue,M,Grey,Wool,1178,734,2021-02-13,Summer
PROD00002,Stylish Red T-Shirt,Tops,T-Shirt,StyleNest,M,Red,Polyester,375,209,2024-06-07,Summer
PROD00003,Trendy Yellow Straight Fit,Jeans,Straight Fit,Urban Vogue,S,Yellow,Georgette,903,603,2024-09-01,Winter
PROD00004,Stylish Pink Blouse,Tops,Blouse,GlowFit,XS,Pink,Polyester,1240,640,2024-12-10,Winter
PROD00005,Chic Black Skinny Jeans,Jeans,Skinny Jeans,GlowFit,M,Black,Polyester,1713,986,2024-11-11,All Season
PROD00006,Classic Purple Gym Top,Activewear,Gym Top,StyleNest,S,Purple,Linen,1821,1118,2022-07-19,Festive
PROD00007,Modern Grey Bodycon Dress,Dresses,Bodycon Dress,Zypher,XL,Grey,Linen,2441,1316,2021-08-02,Festive
PROD00008,Elegant Maroon Shirt,Tops,Shirt,StyleNest,XS,Maroon,Rayon,398,209,2023-12-28,All Season
PROD00009,Premium Purple T-Shirt,Tops,T-Shirt,Chic Avenue,L,Purple,Linen,962,639,2025-08-14,All Season
PROD00010,Stylish Blue Mom Jeans,Jeans,Mom Jeans,Urban Vogue,S,Blue,Rayon,1863,1245,2021-10-13,Winter
PROD00011,Elegant Navy Kurti,Ethnic,Kurti,Velvet Threads,M,Navy,Silk,3851,2494,2022-03-25,Summer
PROD00012,Elegant Purple Gym Top,Activewear,Gym Top,Velvet Threads,M,Purple,Chiffon,733,478,2022-05-23,Festive
PROD00013,Elegant Purple Crop Top,Tops,Crop Top,Aura Fashion,L,Purple,Velvet,770,395,2023-09-13,Festive
PROD00014,Chic Red Skinny Jeans,Jeans,Skinny Jeans,Zypher,M,Red,Velvet,2409,1495,2021-12-29,Festive
PROD00015,Classic Navy Saree,Ethnic,Saree,Velvet Threads,S,Navy,Wool,3962,2614,2023-11-15,Festive
PROD00016,Modern Pink Bodycon Dress,Dresses,Bodycon Dress,Aura Fashion,L,Pink,Wool,1387,850,2025-11-19,Festive
PROD00017,Modern Pink Casual Dress,Dresses,Casual Dress,Aura Fashion,L,Pink,Polyester,2826,1841,2023-08-21,All Season
PROD00018,Chic Maroon Track Pants,Activewear,Track Pants,Chic Avenue,S,Maroon,Silk,1338,745,2025-11-18,Winter
PROD00019,Premium Black Mom Jeans,Jeans,Mom Jeans,GlowFit,XS,Black,Denim,2200,1242,2021-07-16,Summer
PROD00020,Premium Maroon Party Dress,Dresses,Party Dress,Aura Fashion,S,Maroon,Chiffon,1176,594,2022-02-17,All Season
PROD00021,Modern Black Saree,Ethnic,Saree,Zypher,S,Black,Wool,3080,2070,2023-06-29,Winter
PROD00022,Elegant Green Track Pants,Activewear,Track Pants,GlowFit,XS,Green,Rayon,1939,1042,2025-01-05,Festive
PROD00023,Stylish Navy Straight Fit,Jeans,Straight Fit,GlowFit,XL,Navy,Denim,1245,710,2025-11-12,All Season
PROD00024,Premium Pink Gym Top,Activewear,Gym Top,GlowFit,XL,Pink,Denim,1660,1011,2025-12-18,Festive
PROD00025,Premium Red Maxi Dress,Dresses,Maxi Dress,TrendyWear,L,Red,Georgette,1214,767,2023-02-24,Winter
PROD00026,Chic Pink Saree,Ethnic,Saree,Chic Avenue,S,Pink,Linen,2931,1940,2021-02-22,Winter
