Review_ID,Customer_ID,Product_ID,Rating,Review_Text,Review_Date,Sentiment
REV00001,CUST03663,PROD01197,5,"Amazing quality, loved it!",2022-05-08,Positive
REV00002,CUST03923,PROD00887,5,Stylish and worth the price.,2025-11-02,Positive
REV00003,CUST03044,PROD01207,4,Fabric is really soft and premium.,2024-07-05,Positive
REV00004,CUST01706,PROD01993,3,Fit is decent but not perfect.,2025-12-31,Neutral
REV00005,CUST02611,PROD00301,3,"Delivery was fine, product is okay.",2023-09-06,Neutral
REV00006,CUST04392,PROD01014,4,Fabric is really soft and premium.,2023-07-06,Positive
REV00007,CUST03481,PROD00122,2,Did not like the material.,2022-07-25,Negative
REV00008,CUST01200,PROD01717,4,Fabric is really soft and premium.,2021-04-30,Positive
REV00009,CUST03194,PROD00335,5,Highly recommend this product.,2025-02-17,Positive
REV00010,CUST00072,PROD01877,3,"Not bad, not great.",2023-05-07,Neutral
REV00011,CUST00045,PROD00708,3,Fit is decent but not perfect.,2022-10-11,Neutral
REV00012,CUST03185,PROD00628,3,"Delivery was fine, product is okay.",2022-07-23,Neutral
REV00013,CUST04706,PROD01379,2,Very disappointing purchase.,2021-05-25,Negative
REV00014,CUST01495,PROD01751,2,Not worth the money.,2025-09-13,Negative
REV00015,CUST00558,PROD00293,4,"Amazing quality, loved it!",2021-08-01,Positive
REV00016,CUST01656,PROD01376,5,Perfect fit and very comfortable.,2022-10-07,Positive
REV00017,CUST04787,PROD00218,3,"Average quality, expected better.",2021-10-26,Neutral
REV00018,CUST02671,PROD00715,4,"Amazing quality, loved it!",2025-12-29,Positive
REV00019,CUST03576,PROD00407,2,Very disappointing purchase.,2024-12-03,Negative
REV00020,CUST00420,PROD01131,5,Highly recommend this product.,2024-03-08,Positive
REV00021,CUST04218,PROD00781,5,"Amazing quality, loved it!",2023-04-26,Positive
REV00022,CUST02697,PROD00550,2,Did not like the material.,2022-03-18,Negative
REV00023,CUST03955,PROD00225,4,Fabric is really soft and premium.,2023-11-27,Positive
REV00024,CUST00664,PROD01872,5,Stylish and worth the price.,2023-06-08,Positive
REV00025,CUST03120,PROD01352,1,Very poor quality.,2022-10-08,Negative
REV00026,CUST02291,PROD01857,5,Highly recommend this product.,2025-07-17,Positive
REV00027,CUST02689,PROD01600,3,"Not bad, not great.",2022-01-09,Neutral
REV00028,CUST01822,PROD00327,4,"Amazing quality, loved it!",2022-05-18,Positive
REV00029,CUST03252,PROD01060,5,"Amazing quality, loved it!",2021-03-16,Positive
REV00030,CUST04645,PROD00735,4,Stylish and worth the price.,2021-05-21,Positive
REV00031,CUST03839,PROD01076,5,Highly recommend this product.,2023-09-14,Positive
REV00032,CUST02758,PROD01960,3,"Delivery was fine, product is okay.",2024-03-30,Neutral
REV00033,CUST00765,PROD01169,3,"Product is okay, nothing special.",2022-08-07,Neutral
REV00034,CUST01581,PROD00935,4,"Amazing quality, loved it!",2024-06-23,Positive
REV00035,CUST04543,PROD00477,3,Fit is decent but not perfect.,2024-01-05,Neutral
REV00036,CUST04085,PROD01115,1,Very disappointing purchase.,2023-10-02,Negative
REV00037,CUST02783,PROD00963,3,"Delivery was fine, product is okay.",2024-04-25,Neutral
REV00038,CUST01819,PROD00371,3,"Delivery was fine, product is okay.",2023-04-02,Neutral
REV00039,CUST03128,PROD00179,4,"Amazing quality, loved it!",2021-04-02,Positive
REV00040,CUST04915,PROD00957,5,Perfect fit and very comfortable.,2022-03-16,Positive
REV00041,CUST03603,PROD01476,4,Perfect fit and very comfortable.,2023-05-13,Positive
REV00042,CUST03234,PROD00081,3,"Average quality, expected better.",2021-03-27,Neutral
REV00043,CUST04677,PROD00439,2,Did not like the material.,2022-10-04,Negative
REV00044,CUST03823,PROD00404,5,Perfect fit and very comfortable.,2021-11-23,Positive
REV00045,CUST02907,PROD01200,4,"Amazing quality, loved it!",2024-01-13,Positive
REV00046,CUST04220,PROD01372,5,Perfect fit and very comfortable.,2025-08-07,Positive
REV00047,CUST01945,PROD00107,5,Highly recommend this product.,2022-02-13,Positive
REV00048,CUST00505,PROD01723,5,Fabric is really soft and premium.,2025-01-17,Positive
REV00049,CUST04750,PROD01438,4,Highly recommend this product.,2021-11-08,Positive
REV00050,CUST02279,PROD00519,5,Fabric is really soft and premium.,2025-11-28,Positive
REV00051,CUST03002,PROD01366,5,Fabric is really soft and premium.,2022-08-23,Positive
REV00052,CUST04280,PROD01888,4,Fabric is really soft and premium.,2023-11-08,Positive
REV00053,CUST01725,PROD00652,5,Perfect fit and very comfortable.,2025-12-19,Positive
REV00054,CUST00783,PROD00742,4,"Amazing quality, loved it!",2023-03-01,Positive
REV00055,CUST00159,PROD01530,4,Perfect fit and very comfortable.,2021-08-01,Positive
REV00056,CUST04566,PROD01224,5,Highly recommend this product.,2021-01-17,Positive
REV00057,CUST02461,PROD00522,2,Very poor quality.,2025-01-17,Negative
REV00058,CUST04164,PROD00445,3,Fit is decent but not perfect.,2023-03-16,Neutral
REV00059,CUST01757,PROD01539,4,Perfect fit and very comfortable.,2022-06-21,Positive
REV00060,CUST02571,PROD01512,5,Fabric is really soft and premium.,2023-11-18,Positive
REV00061,CUST00049,PROD01101,5,Stylish and worth the price.,2021-07-13,Positive
REV00062,CUST02360,PROD00934,4,Stylish and worth the price.,2024-03-15,Positive
REV00063,CUST04992,PROD00784,4,Stylish and worth the price.,2023-02-27,Positive
REV00064,CUST02405,PROD00317,4,"Amazing quality, loved it!",2022-04-04,Positive
REV00065,CUST02974,PROD01397,4,Fabric is really soft and premium.,2024-01-13,Positive
REV00066,CUST02299,PROD00720,5,Highly recommend this product.,2025-10-12,Positive
REV00067,CUST01516,PROD00144,2,Very disappointing purchase.,2023-01-12,Negative
REV00068,CUST00106,PROD01607,4,Perfect fit and very comfortable.,2022-11-20,Positive
REV00069,CUST02015,PROD01213,3,"Delivery was fine, product is okay.",2024-06-04,Neutral
REV00070,CUST01137,PROD01262,3,"Average quality, expected better.",2024-01-03,Neutral
REV00071,CUST01319,PROD01777,5,"Amazing quality, loved it!",2021-11-26,Positive
REV00072,CUST01559,PROD01911,4,Perfect fit and very comfortable.,2024-11-09,Positive
REV00073,CUST04810,PROD01001,5,Fabric is really soft and premium.,2024-01-26,Positive
REV00074,CUST04446,PROD01542,5,Stylish and worth the price.,2024-11-11,Positive
REV00075,CUST04519,PROD01956,5,Fabric is really soft and premium.,2022-06-26,Positive
REV00076,CUST04413,PROD01709,4,Highly recommend this product.,2024-09-28,Positive
REV00077,CUST03209,PROD00604,5,Fabric is really soft and premium.,2025-04-03,Positive
REV00078,CUST04016,PROD01603,5,Stylish and worth the price.,2025-02-13,Positive
REV00079,CUST00510,PROD01791,5,"Amazing quality, loved it!",2022-02-15,Positive
REV00080,CUST02361,PROD01308,2,Not worth the money.,2022-08-18,Negative
REV00081,CUST04129,PROD01505,3,"Product is okay, nothing special.",2024-10-20,Neutral
REV00082,CUST00558,PROD00999,4,Fabric is really soft and premium.,2022-07-30,Positive
REV00083,CUST01611,PROD00446,4,Highly recommend this product.,2021-02-08,Positive
REV00084,CUST04681,PROD01401,4,Fabric is really soft and premium.,2023-12-26,Positive
REV00085,CUST00721,PROD00374,5,Perfect fit and very comfortable.,2025-02-11,Positive
REV00086,CUST01423,PROD01633,3,"Delivery was fine, product is okay.",2025-10-14,Neutral
REV00087,CUST00298,PROD01929,4,Perfect fit and very comfortable.,2021-09-10,Positive
REV00088,CUST01075,PROD01504,3,"Delivery was fine, product is okay.",2021-10-30,Neutral
REV00089,CUST03340,PROD01446,2,Very disappointing purchase.,2022-07-03,Negative
REV00090,CUST00186,PROD00067,5,Perfect fit and very comfortable.,2021-04-17,Positive
REV00091,CUST03793,PROD01801,5,Fabric is really soft and premium.,2022-12-13,Positive
REV00092,CUST02075,PROD01747,2,Not worth the money.,2024-10-17,Negative
REV00093,CUST04566,PROD01787,2,Size was completely wrong.,2025-09-12,Negative
REV00094,CUST04828,PROD00825,3,"Not bad, not great.",2022-07-07,Neutral
REV00095,CUST04135,PROD00345,2,Size was completely wrong.,2025-07-10,Negative
REV00096,CUST04610,PROD01391,2,Not worth the money.,2021-05-07,Negative
REV00097,CUST00270,PROD00060,5,Highly recommend this product.,2023-01-05,Positive
REV00098,CUST01085,PROD00135,5,"Amazing quality, loved it!",2022-07-17,Positive
REV00099,CUST02838,PROD01244,4,Fabric is really soft and premium.,2025-11-20,Positive
REV00100,CUST02950,PROD01339,3,Fit is decent but not perfect.,2024-05-07,Neutral
REV00101,CUST03030,PROD00882,4,Stylish and worth the price.,2022-07-23,Positive
REV00102,CUST00915,PROD00370,5,Highly recommend this product.,2023-02-07,Positive
