product_id,product_name,category,sub_category,brand,size,color,price,cost_price,profit_margin,launch_date
PROD00001,Roadster Premium Shirt,Shirt,Formal,Roadster,S,Red,1659,1037,622,2019-06-03
PROD00002,Zara Slim Fit Jeans,Jeans,Casual,Zara,S,Green,2302,1577,725,2022-07-19
PROD00003,Adidas Regular Fit T-shirt,T-shirt,Sports,Adidas,M,Grey,1664,1040,624,2022-12-05
PROD00004,US Polo Regular Fit Jeans,Jeans,Casual,US Polo,XXL,Green,952,738,214,2025-01-29
PROD00005,Nike Trendy T-shirt,T-shirt,Sports,Nike,L,Navy,1179,766,413,2019-12-20
PROD00006,Zara Denim Jeans,Jeans,Casual,Zara,XL,White,1104,863,241,2025-09-08
PROD00007,Allen Solly Premium Jacket,Jacket,Casual,Allen Solly,L,White,494,389,105,2024-06-05
PROD00008,Allen Solly Slim Fit Jeans,Jeans,Casual,Allen Solly,L,White,2304,1557,747,2023-03-30
PROD00009,Roadster Stylish Jeans,Jeans,Casual,Roadster,S,Black,2301,1902,399,2025-12-08
PROD00010,Adidas Premium T-shirt,T-shirt,Casual,Adidas,M,White,2455,1605,850,2019-02-13
PROD00011,US Polo Regular Fit T-shirt,T-shirt,Sports,US Polo,XL,White,1592,1146,446,2022-04-03
PROD00012,H&M Trendy Jacket,Jacket,Winter,H&M,XL,White,919,754,165,2019-04-02
PROD00013,Peter England Premium Jeans,Jeans,Casual,Peter England,XL,White,953,775,178,2019-10-02
PROD00014,US Polo Classic Jeans,Jeans,Casual,US Polo,XXL,Green,1763,1123,640,2019-12-26
PROD00015,Levi's Cotton Jeans,Jeans,Casual,Levi's,S,Black,653,536,117,2023-02-05
PROD00016,Nike Trendy Jeans,Jeans,Casual,Nike,L,White,2426,1662,764,2019-04-10
PROD00017,Zara Stylish Jeans,Jeans,Casual,Zara,L,Navy,1442,968,474,2024-01-10
PROD00018,Adidas Stylish Shirt,Shirt,Casual,Adidas,S,Navy,1022,769,253,2022-01-31
PROD00019,Roadster Slim Fit Jacket,Jacket,Winter,Roadster,XXL,Black,1805,1468,337,2023-02-25
