review_id,auction_id,reviewer_id,reviewee_id,rating,review_text,review_date
REV00001,AUC00001,USER01392,USER00891,4,"Great experience, smooth transaction!",2024-05-01 21:36:00
REV00002,AUC00005,USER02931,USER02217,5,Fast delivery and excellent communication.,2024-08-26 20:59:00
REV00003,AUC00006,USER00424,USER01661,4,Very professional and reliable.,2023-03-22 17:35:00
REV00004,AUC00007,USER00756,USER02285,4,"Item exactly as described, very happy.",2025-11-06 15:22:00
REV00005,AUC00008,USER02166,USER02450,2,Poor communication from seller.,2025-05-24 23:54:00
REV00006,AUC00009,USER00648,USER00563,5,"Great experience, smooth transaction!",2024-07-16 00:23:00
REV00007,AUC00010,USER00968,USER01869,5,Highly recommended seller.,2025-11-17 16:41:00
REV00008,AUC00011,USER01581,USER01664,3,Product was fine but packaging could improve.,2022-01-11 03:37:00
REV00009,AUC00012,USER00432,USER00153,5,Very professional and reliable.,2023-08-17 07:46:00
REV00010,AUC00014,USER01441,USER00699,5,Fast delivery and excellent communication.,2024-12-09 09:50:00
REV00011,AUC00016,USER01913,USER02769,4,"Great experience, smooth transaction!",2023-07-26 00:22:00
REV00012,AUC00017,USER02089,USER02540,3,Product was fine but packaging could improve.,2025-03-08 05:39:00
REV00013,AUC00024,USER00184,USER01552,2,Poor communication from seller.,2024-08-31 18:57:00
REV00014,AUC00025,USER02739,USER00891,3,"Average experience, nothing special.",2025-07-21 08:58:00
REV00015,AUC00031,USER02796,USER01674,3,"Average experience, nothing special.",2023-10-05 12:42:00
REV00016,AUC00033,USER02552,USER01754,4,"Great experience, smooth transaction!",2024-09-04 18:48:00
REV00017,AUC00034,USER00621,USER00485,3,"Item was okay, delivery was a bit late.",2024-08-31 01:39:00
REV00018,AUC00035,USER01488,USER00269,4,Fast delivery and excellent communication.,2024-12-29 09:47:00
REV00019,AUC00036,USER00023,USER00588,4,Very professional and reliable.,2024-01-03 08:49:00
REV00020,AUC00037,USER00310,USER01204,5,"Item exactly as described, very happy.",2024-01-21 13:26:00
REV00021,AUC00040,USER01200,USER01006,4,Very professional and reliable.,2024-12-05 01:54:00
REV00022,AUC00042,USER01601,USER00752,4,Fast delivery and excellent communication.,2025-07-26 07:51:00
REV00023,AUC00044,USER01119,USER01921,2,Not satisfied with the purchase.,2025-09-04 02:21:00
REV00024,AUC00049,USER00415,USER02468,5,Highly recommended seller.,2024-02-06 22:33:00
REV00025,AUC00050,USER00285,USER00188,5,Very professional and reliable.,2023-04-12 21:04:00
REV00026,AUC00051,USER02734,USER03000,5,"Great experience, smooth transaction!",2025-01-09 05:08:00
REV00027,AUC00053,USER01766,USER00288,3,Product was fine but packaging could improve.,2024-03-13 01:18:00
REV00028,AUC00055,USER02802,USER00036,3,"Item was okay, delivery was a bit late.",2024-07-02 10:37:00
REV00029,AUC00056,USER00403,USER00015,5,Very professional and reliable.,2025-12-10 12:50:00
REV00030,AUC00059,USER01885,USER02610,5,"Item exactly as described, very happy.",2024-11-23 11:28:00
REV00031,AUC00060,USER02595,USER00913,4,Highly recommended seller.,2024-07-11 10:44:00
REV00032,AUC00061,USER01511,USER01851,3,"Item was okay, delivery was a bit late.",2024-08-28 00:56:00
REV00033,AUC00062,USER01638,USER00081,4,Fast delivery and excellent communication.,2024-04-19 20:12:00
REV00034,AUC00067,USER01065,USER01509,5,"Item exactly as described, very happy.",2022-09-28 02:27:00
REV00035,AUC00069,USER01076,USER00370,5,"Great experience, smooth transaction!",2023-12-08 00:39:00
REV00036,AUC00071,USER02153,USER01754,3,"Average experience, nothing special.",2022-10-01 03:51:00
REV00037,AUC00073,USER01893,USER00220,5,"Great experience, smooth transaction!",2024-09-21 21:15:00
REV00038,AUC00074,USER00791,USER00598,5,"Great experience, smooth transaction!",2024-09-09 18:52:00
REV00039,AUC00075,USER02893,USER02420,5,Very professional and reliable.,2023-10-03 04:20:00
REV00040,AUC00076,USER00894,USER02498,4,Fast delivery and excellent communication.,2023-07-06 06:50:00
REV00041,AUC00080,USER02142,USER00402,4,"Great experience, smooth transaction!",2025-01-10 13:39:00
REV00042,AUC00082,USER00211,USER00842,2,"Item not as described, disappointed.",2023-07-29 12:38:00
REV00043,AUC00083,USER01763,USER00253,5,"Item exactly as described, very happy.",2023-07-19 16:59:00
REV00044,AUC00084,USER01858,USER02788,4,Fast delivery and excellent communication.,2022-06-11 15:20:00
REV00045,AUC00085,USER00563,USER01477,4,Very professional and reliable.,2022-03-10 05:50:00
REV00046,AUC00087,USER00063,USER02026,5,"Item exactly as described, very happy.",2022-09-10 01:59:00
REV00047,AUC00088,USER00011,USER01351,3,"Item was okay, delivery was a bit late.",2023-06-14 11:14:00
REV00048,AUC00089,USER00981,USER02000,3,"Item was okay, delivery was a bit late.",2025-10-18 00:08:00
REV00049,AUC00090,USER00637,USER02687,3,"Average experience, nothing special.",2025-08-05 22:59:00
REV00050,AUC00091,USER00299,USER01920,4,"Item exactly as described, very happy.",2025-04-06 15:28:00
REV00051,AUC00092,USER00936,USER01526,3,Product was fine but packaging could improve.,2022-02-22 02:49:00
REV00052,AUC00093,USER01031,USER02486,3,Product was fine but packaging could improve.,2025-03-12 17:13:00
REV00053,AUC00094,USER01124,USER02437,5,"Great experience, smooth transaction!",2023-03-22 08:54:00
REV00054,AUC00095,USER01928,USER02773,2,Not satisfied with the purchase.,2024-04-20 16:57:00
REV00055,AUC00096,USER02335,USER01642,4,"Item exactly as described, very happy.",2023-05-23 04:45:00
REV00056,AUC00098,USER01194,USER01141,5,Highly recommended seller.,2023-05-12 18:04:00
REV00057,AUC00099,USER00938,USER01007,4,Highly recommended seller.,2023-01-17 18:32:00
REV00058,AUC00100,USER01700,USER01699,4,Fast delivery and excellent communication.,2025-10-03 03:22:00
REV00059,AUC00101,USER01739,USER01616,5,Highly recommended seller.,2025-01-31 03:19:00
REV00060,AUC00102,USER02652,USER00998,5,Fast delivery and excellent communication.,2024-09-25 16:56:00
REV00061,AUC00103,USER01489,USER02718,5,"Great experience, smooth transaction!",2023-11-26 12:53:00
REV00062,AUC00106,USER02591,USER02040,5,Fast delivery and excellent communication.,2024-01-20 13:45:00
REV00063,AUC00109,USER02950,USER02184,5,"Item exactly as described, very happy.",2022-05-13 05:47:00
REV00064,AUC00112,USER00850,USER02083,4,Very professional and reliable.,2022-03-24 20:21:00
REV00065,AUC00114,USER02161,USER00241,4,Very professional and reliable.,2023-03-29 14:01:00
REV00066,AUC00122,USER02404,USER00068,5,"Great experience, smooth transaction!",2025-11-27 14:47:00
REV00067,AUC00123,USER02662,USER02753,4,Highly recommended seller.,2024-09-06 03:09:00
REV00068,AUC00124,USER02633,USER01988,5,"Great experience, smooth transaction!",2025-11-26 05:26:00
REV00069,AUC00125,USER02913,USER02010,5,Very professional and reliable.,2025-05-21 13:26:00
REV00070,AUC00128,USER00861,USER01546,1,Poor communication from seller.,2025-12-12 23:51:00
REV00071,AUC00130,USER00335,USER02332,3,"Average experience, nothing special.",2024-03-21 22:39:00
REV00072,AUC00131,USER01192,USER00541,5,"Item exactly as described, very happy.",2024-02-10 08:42:00
REV00073,AUC00132,USER01925,USER00568,4,Fast delivery and excellent communication.,2023-12-30 21:16:00
REV00074,AUC00133,USER01771,USER02508,4,Highly recommended seller.,2024-01-30 04:19:00
REV00075,AUC00134,USER01689,USER00326,5,"Great experience, smooth transaction!",2024-02-02 08:29:00
REV00076,AUC00135,USER00443,USER02498,5,"Great experience, smooth transaction!",2024-07-31 06:48:00
REV00077,AUC00136,USER02257,USER01098,4,Highly recommended seller.,2024-10-14 11:10:00
